Risk,Description,Category,Level,Type,Key,Traversal Parameters,URL
Exports Cocoa from High-Risk Country for Deforestation (EUDR) (May Include 'PSA' Path),"This entity exports cocoa or cocoa products from one or more countries where its production may be associated with high risk under the EUDR, based on country measures of commodity-driven deforestation, biodiversity loss, and governance. Countries with high EUDR risk for cocoa may include Côte d'Ivoire, Ghana, Colombia, Republic of the Congo, Papua New Guinea, Cameroon, Peru.
Countries identified as high-risk by Sayari may not conform with those specified by the EU. The EU is expected to finalize its country risk benchmarking system by June 30, 2025; the regulation will take effect on December 30, 2025. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",environmental_risk,Elevated,seed,psa_exports_eudr_shipment_cocoa,"{'max': 3, 'psa': True, 'relationships': ['ships_to'], 'risk': ['psa_imports_eudr_shipment_cocoa']}",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32023R1115
Exports Coffee from High-Risk Country for Deforestation (EUDR),"This entity exports coffee or coffee products from one or more countries where its production may be associated with high risk under the EUDR, based on country measures of commodity-driven deforestation, biodiversity loss, and governance. Countries with high EUDR risk for coffee may include Mexico, Uganda, Tanzania, Peru, Vietnam, Brazil, Honduras, Costa Rica.
Countries identified as high-risk by Sayari may not conform with those specified by the EU. The EU is expected to finalize its country risk benchmarking system by June 30, 2025; the regulation will take effect on December 30, 2025.",environmental_risk,Elevated,seed,exports_eudr_shipment_coffee,"{'max': 1, 'psa': False, 'relationships': ['ships_to'], 'risk': ['imports_eudr_shipment_coffee']}",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32023R1115
Exports Coffee from High-Risk Country for Deforestation (EUDR) (May Include 'PSA' Path),"This entity exports coffee or coffee products from one or more countries where its production may be associated with high risk under the EUDR, based on country measures of commodity-driven deforestation, biodiversity loss, and governance. Countries with high EUDR risk for coffee may include Mexico, Uganda, Tanzania, Peru, Vietnam, Brazil, Honduras, Costa Rica.
Countries identified as high-risk by Sayari may not conform with those specified by the EU. The EU is expected to finalize its country risk benchmarking system by June 30, 2025; the regulation will take effect on December 30, 2025. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",environmental_risk,Elevated,seed,psa_exports_eudr_shipment_coffee,"{'max': 3, 'psa': True, 'relationships': ['ships_to'], 'risk': ['psa_imports_eudr_shipment_coffee']}",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32023R1115
Exports Palm Oil from High-Risk Country for Deforestation (EUDR),"This entity exports palm oil or palm oil products from one or more countries where its production may be associated with high risk under the EUDR, based on country measures of commodity-driven deforestation, biodiversity loss, and governance. Countries with high EUDR risk for palm oil may include Papua New Guinea, Cambodia, Ecuador, Indonesia, Malaysia, Peru.
Countries identified as high-risk by Sayari may not conform with those specified by the EU. The EU is expected to finalize its country risk benchmarking system by June 30, 2025; the regulation will take effect on December 30, 2025.",environmental_risk,Elevated,seed,exports_eudr_shipment_palm_oil,"{'max': 1, 'psa': False, 'relationships': ['ships_to'], 'risk': ['imports_eudr_shipment_palm_oil']}",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32023R1115
Exports Palm Oil from High-Risk Country for Deforestation (EUDR) (May Include 'PSA' Path),"This entity exports palm oil or palm oil products from one or more countries where its production may be associated with high risk under the EUDR, based on country measures of commodity-driven deforestation, biodiversity loss, and governance. Countries with high EUDR risk for palm oil may include Papua New Guinea, Cambodia, Ecuador, Indonesia, Malaysia, Peru.
Countries identified as high-risk by Sayari may not conform with those specified by the EU. The EU is expected to finalize its country risk benchmarking system by June 30, 2025; the regulation will take effect on December 30, 2025. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",environmental_risk,Elevated,seed,psa_exports_eudr_shipment_palm_oil,"{'max': 3, 'psa': True, 'relationships': ['ships_to'], 'risk': ['psa_imports_eudr_shipment_palm_oil']}",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32023R1115
Exports Rubber from High-Risk Country for Deforestation (EUDR),"This entity exports rubber or rubber products from one or more countries where its production may be associated with high risk under the EUDR, based on country measures of commodity-driven deforestation, biodiversity loss, and governance. Countries with high EUDR risk for rubber may include Philippines, Liberia, Cambodia, Vietnam, Colombia, Thailand.
Countries identified as high-risk by Sayari may not conform with those specified by the EU. The EU is expected to finalize its country risk benchmarking system by June 30, 2025; the regulation will take effect on December 30, 2025.",environmental_risk,Elevated,seed,exports_eudr_shipment_rubber,"{'max': 1, 'psa': False, 'relationships': ['ships_to'], 'risk': ['imports_eudr_shipment_rubber']}",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32023R1115
Exports Rubber from High-Risk Country for Deforestation (EUDR) (May Include 'PSA' Path),"This entity exports rubber or rubber products from one or more countries where its production may be associated with high risk under the EUDR, based on country measures of commodity-driven deforestation, biodiversity loss, and governance. Countries with high EUDR risk for rubber may include Philippines, Liberia, Cambodia, Vietnam, Colombia, Thailand.
Countries identified as high-risk by Sayari may not conform with those specified by the EU. The EU is expected to finalize its country risk benchmarking system by June 30, 2025; the regulation will take effect on December 30, 2025. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",environmental_risk,Elevated,seed,psa_exports_eudr_shipment_rubber,"{'max': 3, 'psa': True, 'relationships': ['ships_to'], 'risk': ['psa_imports_eudr_shipment_rubber']}",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32023R1115
Exports Soya from High-Risk Country for Deforestation (EUDR),"This entity exports soy or soy products from one or more countries where its production may be associated with high risk under the EUDR, based on country measures of commodity-driven deforestation, biodiversity loss, and governance. Countries with high EUDR risk for soy may include Brazil, Argentina, and Bolivia.
Countries identified as high-risk by Sayari may not conform with those specified by the EU. The EU is expected to finalize its country risk benchmarking system by June 30, 2025; the regulation will take effect on December 30, 2025.",environmental_risk,Elevated,seed,exports_eudr_shipment_soya,"{'max': 1, 'psa': False, 'relationships': ['ships_to'], 'risk': ['imports_eudr_shipment_soya']}",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32023R1115
Exports Soya from High-Risk Country for Deforestation (EUDR) (May Include 'PSA' Path),"This entity exports soy or soy products from one or more countries where its production may be associated with high risk under the EUDR, based on country measures of commodity-driven deforestation, biodiversity loss, and governance. Countries with high EUDR risk for soy may include Brazil, Argentina, and Bolivia.
Countries identified as high-risk by Sayari may not conform with those specified by the EU. The EU is expected to finalize its country risk benchmarking system by June 30, 2025; the regulation will take effect on December 30, 2025. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",environmental_risk,Elevated,seed,psa_exports_eudr_shipment_soya,"{'max': 3, 'psa': True, 'relationships': ['ships_to'], 'risk': ['psa_imports_eudr_shipment_soya']}",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32023R1115
Exports Wood from High-Risk Country for Deforestation (EUDR),"This entity exports wood or wood products from one or more countries where its production may be associated with high risk under the EUDR, based on country measures of commodity-driven deforestation, biodiversity loss, and governance. Countries with high EUDR risk for wood may include Vietnam, Indonesia, Cambodia, China, Brazil, India.
Countries identified as high-risk by Sayari may not conform with those specified by the EU. The EU is expected to finalize its country risk benchmarking system by June 30, 2025; the regulation will take effect on December 30, 2025.",environmental_risk,Elevated,seed,exports_eudr_shipment_wood,"{'max': 1, 'psa': False, 'relationships': ['ships_to'], 'risk': ['imports_eudr_shipment_wood']}",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32023R1115
Exports Wood from High-Risk Country for Deforestation (EUDR) (May Include 'PSA' Path),"This entity exports wood or wood products from one or more countries where its production may be associated with high risk under the EUDR, based on country measures of commodity-driven deforestation, biodiversity loss, and governance. Countries with high EUDR risk for wood may include Vietnam, Indonesia, Cambodia, China, Brazil, India.
Countries identified as high-risk by Sayari may not conform with those specified by the EU. The EU is expected to finalize its country risk benchmarking system by June 30, 2025; the regulation will take effect on December 30, 2025. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",environmental_risk,Elevated,seed,psa_exports_eudr_shipment_wood,"{'max': 3, 'psa': True, 'relationships': ['ships_to'], 'risk': ['psa_imports_eudr_shipment_wood']}",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32023R1115
Direct Exports of Components in USA Bureau of Industry and Security (BIS) Common High Priority Items List,"This entity may have directly exported to Russia, Belarus, or Iran one or more shipments with Harmonized System (HS) codes corresponding to critical U.S. components that Russia relies on for its weapons systems. These HS codes listed in Tier 1 and Tier 2 of the U.S. Bureau of Industry and Security's Common High Priority List (CHPL) are subject to the most comprehensive controls under the Export Administration Regulations (15 CFR Parts 730 – 774) (EAR), meaning a license is required for items associated with these HS codes destined for these jurisdictions, including certain foreign-produced items. The BIS has developed the CHPL in collaboration with the European Union, Japan, and the United Kingdom.",export_controls,Elevated,network,exports_bis_high_priority_items_direct,"{'max': 3, 'psa': False, 'relationships': ['ships_to'], 'risk': ['imports_bis_high_priority_items']}",https://www.bis.doc.gov/index.php/all-articles/13-policy-guidance/country-guidance/2172-russia-export-controls-list-of-common-high-priority-items
Direct Exports of Components in USA Bureau of Industry and Security (BIS) Common High Priority Items List (May Include 'PSA' Path),"This entity may have directly exported to Russia, Belarus, or Iran one or more shipments with Harmonized System (HS) codes corresponding to critical U.S. components that Russia relies on for its weapons systems. These HS codes listed in Tier 1 and Tier 2 of the U.S. Bureau of Industry and Security's Common High Priority List (CHPL) are subject to the most comprehensive controls under the Export Administration Regulations (15 CFR Parts 730 – 774) (EAR), meaning a license is required for items associated with these HS codes destined for these jurisdictions, including certain foreign-produced items. The BIS has developed the CHPL in collaboration with the European Union, Japan, and the United Kingdom. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,Elevated,network,psa_exports_bis_high_priority_items_direct,"{'max': 6, 'psa': True, 'relationships': ['ships_to'], 'risk': ['psa_imports_bis_high_priority_items']}",https://www.bis.doc.gov/index.php/all-articles/13-policy-guidance/country-guidance/2172-russia-export-controls-list-of-common-high-priority-items
Direct Exports of Critical Components in USA Bureau of Industry and Security (BIS) Common High Priority Items List,"This entity may have directly exported to Russia, Belarus, or Iran one or more shipments with Harmonized System (HS) codes corresponding to critical U.S. components that Russia relies on for its weapons systems. These HS codes listed in Tier 1 and Tier 2 of the U.S. Bureau of Industry and Security's Common High Priority List (CHPL) are subject to the most comprehensive controls under the Export Administration Regulations (15 CFR Parts 730 – 774) (EAR), meaning a license is required for items associated with these HS codes destined for these jurisdictions, including certain foreign-produced items. The BIS has developed the CHPL in collaboration with the European Union, Japan, and the United Kingdom.",export_controls,High,network,exports_bis_high_priority_items_critical_components_direct,"{'max': 3, 'psa': False, 'relationships': ['ships_to'], 'risk': ['imports_bis_high_priority_items_critical_components']}",https://www.bis.doc.gov/index.php/all-articles/13-policy-guidance/country-guidance/2172-russia-export-controls-list-of-common-high-priority-items
Direct Exports of Critical Components in USA Bureau of Industry and Security (BIS) Common High Priority Items List (May Include 'PSA' Path),"This entity may have directly exported to Russia, Belarus, or Iran one or more shipments with Harmonized System (HS) codes corresponding to critical U.S. components that Russia relies on for its weapons systems. These HS codes listed in Tier 1 and Tier 2 of the U.S. Bureau of Industry and Security's Common High Priority List (CHPL) are subject to the most comprehensive controls under the Export Administration Regulations (15 CFR Parts 730 – 774) (EAR), meaning a license is required for items associated with these HS codes destined for these jurisdictions, including certain foreign-produced items. The BIS has developed the CHPL in collaboration with the European Union, Japan, and the United Kingdom. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_exports_bis_high_priority_items_critical_components_direct,"{'max': 6, 'psa': True, 'relationships': ['ships_to'], 'risk': ['psa_imports_bis_high_priority_items_critical_components']}",https://www.bis.doc.gov/index.php/all-articles/13-policy-guidance/country-guidance/2172-russia-export-controls-list-of-common-high-priority-items
Entity Displays Active License from Federal Security Service of the Russian Federation (FSB RF),"The entity displays an active license from the Federal Security Service of the Russian Federation (FSB RF), which allows companies to work on projects classified as a state secret.",export_controls,High,seed,entity_licensed_with_fsb_rf,,https://www.fincen.gov/sites/default/files/2022-06/FinCEN%20and%20Bis%20Joint%20Alert%20FINAL.pdf
Entity Exports to Entity that Displays Active License from FSB RF,"The entity has possibly directly exported to an entity that displays an active license from the Federal Security Service of the Russian Federation (FSB RF), which allows companies to work on projects classified as a state secret (1 hop away). Per FinCEN and the U.S. Department of Commerce's Bureau of Industry and Security (BIS), transactions with these companies is a potential red flag indicator of export control evasion in effort to procure EAR99 items. Consideration of this indicator, in conjunction with conducting appropriate risk-based customer and transactional due diligence, will assist in determining whether an identified activity may be connected to export control evasion.",export_controls,High,network,exports_to_entity_licensed_with_fsb_rf,"{'max': 1, 'psa': False, 'relationships': ['ships_to'], 'risk': ['entity_licensed_with_fsb_rf']}",https://www.fincen.gov/sites/default/files/2022-06/FinCEN%20and%20Bis%20Joint%20Alert%20FINAL.pdf
Entity Exports to Entity that Displays Active License from FSB RF (May Include 'PSA' Path),"The entity has possibly directly exported to an entity that displays an active license from the Federal Security Service of the Russian Federation (FSB RF), which allows companies to work on projects classified as a state secret (1 hop away). Per FinCEN and the U.S. Department of Commerce's Bureau of Industry and Security (BIS), transactions with these companies is a potential red flag indicator of export control evasion in effort to procure EAR99 items. Consideration of this indicator, in conjunction with conducting appropriate risk-based customer and transactional due diligence, will assist in determining whether an identified activity may be connected to export control evasion. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_exports_to_entity_licensed_with_fsb_rf,"{'max': 3, 'psa': True, 'relationships': ['ships_to'], 'risk': ['entity_licensed_with_fsb_rf']}",https://www.fincen.gov/sites/default/files/2022-06/FinCEN%20and%20Bis%20Joint%20Alert%20FINAL.pdf
Export Control Lists,"The entity is subject to trade restrictions per the U.S. Consolidated Screening List, a list of parties for which the United States government maintains restrictions on certain exports, reexports, or transfers of items.",export_controls,Critical,seed,export_controls,,
Exports to AECA Debarred List Entity,"Historical shipment records suggest that the entity has exported one or more goods to an entity that has been added to the AECA Debarred List. This Risk Factor applies only where the relevant export arrived after the designation date of the listed entity. This does not, by definition, indicate a violation of export control or sanctions law. Exports to listed entities may be permitted under general licenses, exemptions, or based on the item’s classification and intended end use.",export_controls,High,network,exports_to_usa_aeca_debarred_entity,"{'max': 1, 'psa': False, 'relationships': ['ships_to'], 'risk': ['usa_aeca_debarred']}",
Exports to AECA Debarred List Entity (May Include 'PSA' Path),"Historical shipment records suggest that the entity has exported one or more goods to an entity that has been added to the AECA Debarred List. This Risk Factor applies only where the relevant export arrived after the designation date of the listed entity. This does not, by definition, indicate a violation of export control or sanctions law. Exports to listed entities may be permitted under general licenses, exemptions, or based on the item’s classification and intended end use. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_exports_to_usa_aeca_debarred_entity,"{'max': 3, 'psa': True, 'relationships': ['ships_to'], 'risk': ['usa_aeca_debarred']}",
Exports to BIS Denied Persons List Entity,"Historical shipment records suggest that the entity has exported one or more goods to an entity that has been added to the BIS Denied Persons List. This Risk Factor applies only where the relevant export arrived after the designation date of the listed entity. This does not, by definition, indicate a violation of export control or sanctions law. Exports to listed entities may be permitted under general licenses, exemptions, or based on the item’s classification and intended end use.",export_controls,High,network,exports_to_usa_bis_denied_persons_entity,"{'max': 1, 'psa': False, 'relationships': ['ships_to'], 'risk': ['usa_bis_denied_persons']}",
Exports to BIS Denied Persons List Entity (May Include 'PSA' Path),"Historical shipment records suggest that the entity has exported one or more goods to an entity that has been added to the BIS Denied Persons List. This Risk Factor applies only where the relevant export arrived after the designation date of the listed entity. This does not, by definition, indicate a violation of export control or sanctions law. Exports to listed entities may be permitted under general licenses, exemptions, or based on the item’s classification and intended end use. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_exports_to_usa_bis_denied_persons_entity,"{'max': 3, 'psa': True, 'relationships': ['ships_to'], 'risk': ['usa_bis_denied_persons']}",
Exports to BIS Military End User (MEU) List Entity,"Historical shipment records suggest that the entity has exported one or more goods to an entity that has been added to the BIS Military End User (MEU) List. This Risk Factor applies only where the relevant export arrived after the designation date of the listed entity. This does not, by definition, indicate a violation of export control or sanctions law. Exports to listed entities may be permitted under general licenses, exemptions, or based on the item’s classification and intended end use.",export_controls,High,network,exports_to_usa_bis_meu_entity,"{'max': 1, 'psa': False, 'relationships': ['ships_to'], 'risk': ['usa_bis_meu']}",
Exports to BIS Military End User (MEU) List Entity (May Include 'PSA' Path),"Historical shipment records suggest that the entity has exported one or more goods to an entity that has been added to the BIS Military End User (MEU) List. This Risk Factor applies only where the relevant export arrived after the designation date of the listed entity. This does not, by definition, indicate a violation of export control or sanctions law. Exports to listed entities may be permitted under general licenses, exemptions, or based on the item’s classification and intended end use. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_exports_to_usa_bis_meu_entity,"{'max': 3, 'psa': True, 'relationships': ['ships_to'], 'risk': ['usa_bis_meu']}",
Exports to BIS Unverified List Entity,"Historical shipment records suggest that the entity has exported one or more goods to an entity that has been added to the BIS Unverified List. This Risk Factor applies only where the relevant export arrived after the designation date of the listed entity. This does not, by definition, indicate a violation of export control or sanctions law. Exports to listed entities may be permitted under general licenses, exemptions, or based on the item’s classification and intended end use.",export_controls,High,network,exports_to_usa_bis_unverified_entity,"{'max': 1, 'psa': False, 'relationships': ['ships_to'], 'risk': ['usa_bis_unverified']}",
Exports to BIS Unverified List Entity (May Include 'PSA' Path),"Historical shipment records suggest that the entity has exported one or more goods to an entity that has been added to the BIS Unverified List. This Risk Factor applies only where the relevant export arrived after the designation date of the listed entity. This does not, by definition, indicate a violation of export control or sanctions law. Exports to listed entities may be permitted under general licenses, exemptions, or based on the item’s classification and intended end use. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_exports_to_usa_bis_unverified_entity,"{'max': 3, 'psa': True, 'relationships': ['ships_to'], 'risk': ['usa_bis_unverified']}",
Exports to Entity in BIS Entity List,"Historical shipment records suggest that the entity has exported one or more goods to an entity that has been added to the BIS Entity List. This Risk Factor applies only where the relevant export arrived after the designation date of the listed entity. This does not, by definition, indicate a violation of export control or sanctions law. Exports to listed entities may be permitted under general licenses, exemptions, or based on the item’s classification and intended end use.",export_controls,High,network,exports_to_usa_bis_entity,"{'max': 1, 'psa': False, 'relationships': ['ships_to'], 'risk': ['usa_bis']}",
Exports to Entity in BIS Entity List (May Include 'PSA' Path),"Historical shipment records suggest that the entity has exported one or more goods to an entity that has been added to the BIS Entity List. This Risk Factor applies only where the relevant export arrived after the designation date of the listed entity. This does not, by definition, indicate a violation of export control or sanctions law. Exports to listed entities may be permitted under general licenses, exemptions, or based on the item’s classification and intended end use. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_exports_to_usa_bis_entity,"{'max': 3, 'psa': True, 'relationships': ['ships_to'], 'risk': ['usa_bis']}",
Exports to ISN Nonproliferation Sanctions List Entity,"Historical shipment records suggest that the entity has exported one or more goods to an entity that has been added to the ISN Nonproliferation Sanctions List. This Risk Factor applies only where the relevant export arrived after the designation date of the listed entity. This does not, by definition, indicate a violation of export control or sanctions law. Exports to listed entities may be permitted under general licenses, exemptions, or based on the item’s classification and intended end use.",export_controls,High,network,exports_to_usa_isn_entity,"{'max': 1, 'psa': False, 'relationships': ['ships_to'], 'risk': ['usa_isn']}",
Exports to ISN Nonproliferation Sanctions List Entity (May Include 'PSA' Path),"Historical shipment records suggest that the entity has exported one or more goods to an entity that has been added to the ISN Nonproliferation Sanctions List. This Risk Factor applies only where the relevant export arrived after the designation date of the listed entity. This does not, by definition, indicate a violation of export control or sanctions law. Exports to listed entities may be permitted under general licenses, exemptions, or based on the item’s classification and intended end use. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_exports_to_usa_isn_entity,"{'max': 3, 'psa': True, 'relationships': ['ships_to'], 'risk': ['usa_isn']}",
Exports to Japan METI End User List Entity,"Historical shipment records suggest that the entity has exported one or more goods to an entity that has been added to the Japan METI End User List. This Risk Factor applies only where the relevant export arrived after the designation date of the listed entity. This does not, by definition, indicate a violation of export control or sanctions law. Exports to listed entities may be permitted under general licenses, exemptions, or based on the item’s classification and intended end use.",export_controls,High,network,exports_to_jpn_meti_end_user_entity,"{'max': 1, 'psa': False, 'relationships': ['ships_to'], 'risk': ['jpn_meti_end_user']}",
Exports to Japan METI End User List Entity (May Include 'PSA' Path),"Historical shipment records suggest that the entity has exported one or more goods to an entity that has been added to the Japan METI End User List. This Risk Factor applies only where the relevant export arrived after the designation date of the listed entity. This does not, by definition, indicate a violation of export control or sanctions law. Exports to listed entities may be permitted under general licenses, exemptions, or based on the item’s classification and intended end use. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_exports_to_jpn_meti_end_user_entity,"{'max': 3, 'psa': True, 'relationships': ['ships_to'], 'risk': ['jpn_meti_end_user']}",
Exports to Japan MOFA Export Ban List Entity,"Historical shipment records suggest that the entity has exported one or more goods to an entity that has been added to the Japan MOFA Export Ban List. This Risk Factor applies only where the relevant export arrived after the designation date of the listed entity. This does not, by definition, indicate a violation of export control or sanctions law. Exports to listed entities may be permitted under general licenses, exemptions, or based on the item’s classification and intended end use.",export_controls,High,network,exports_to_jpn_mofa_export_ban_entity,"{'max': 1, 'psa': False, 'relationships': ['ships_to'], 'risk': ['jpn_mofa_export_ban']}",
Exports to Japan MOFA Export Ban List Entity (May Include 'PSA' Path),"Historical shipment records suggest that the entity has exported one or more goods to an entity that has been added to the Japan MOFA Export Ban List. This Risk Factor applies only where the relevant export arrived after the designation date of the listed entity. This does not, by definition, indicate a violation of export control or sanctions law. Exports to listed entities may be permitted under general licenses, exemptions, or based on the item’s classification and intended end use. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_exports_to_jpn_mofa_export_ban_entity,"{'max': 3, 'psa': True, 'relationships': ['ships_to'], 'risk': ['jpn_mofa_export_ban']}",
